step,status,bar,raw_candidates,viable_candidates,selected_name,selected_nu,selected_kappa,selected_rho,selected_source,runner_1,runner_2,runner_3,agenda_expanded,agenda_sigma_prunes,agenda_dominance_prunes,agenda_critic_transitions,agenda_action_failures,agenda_near_misses
1,selected,0.5000,12,11,Universe,1,2,0.5000,ENUM_MBTT,candidate|1|2|0.5000|ENUM_MBTT,candidate|1|2|0.5000|ENUM_MBTT,Universe|1|1|1.0000|ENUM_MBTT,0,0,0,0,0,0
2,selected,0.5000,11,11,Unit,1,1,1.0000,ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,0,0,0,0,0,0
3,selected,1.3333,7,3,Witness,2,1,2.0000,ENUM_MBTT,Witness|2|1|2.0000|ENUM_MBTT,candidate|5|1|5.0000|ENUM_MBTT,,0,0,0,0,0,0
4,selected,1.5000,16,10,Axiom_3,5,3,1.6667,AGENDA,Pi|5|3|1.6667|AGENDA,candidate|7|3|2.3333|AGENDA,candidate|7|3|2.3333|AGENDA,20,0,14,0,3,8
5,selected,2.1429,13,9,Axiom_4,7,3,2.3333,AGENDA,candidate|7|3|2.3333|AGENDA,Pi|9|3|3.0000|AGENDA,candidate|12|3|4.0000|AGENDA,17,0,17,0,3,8
6,selected,2.5600,13,6,candidate,9,3,3.0000,AGENDA,candidate|9|3|3.0000|AGENDA,HIT|9|3|3.0000|AGENDA,HIT|9|3|3.0000|AGENDA,17,3,14,0,3,8
7,no_viable,3.1250,2,0,,,,,,,,,4,15,1,0,3,8
