step,status,bar,raw_candidates,viable_candidates,selected_name,selected_nu,selected_kappa,selected_rho,selected_source,runner_1,runner_2,runner_3,agenda_expanded,agenda_sigma_prunes,agenda_dominance_prunes,agenda_critic_transitions,agenda_action_failures,agenda_near_misses
1,selected,0.5000,12,11,Universe,1,2,0.5000,ENUM_MBTT,candidate|1|2|0.5000|ENUM_MBTT,candidate|1|2|0.5000|ENUM_MBTT,Universe|1|1|1.0000|ENUM_MBTT,0,0,0,0,0,0
2,selected,0.5000,11,11,Unit,1,1,1.0000,ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,Unit|1|1|1.0000|ENUM_MBTT,0,0,0,0,0,0
3,selected,1.3333,7,3,Witness,2,1,2.0000,ENUM_MBTT,Witness|2|1|2.0000|ENUM_MBTT,candidate|5|1|5.0000|ENUM_MBTT,,0,0,0,0,0,0
4,selected,1.5000,19,12,candidate,7,3,2.3333,AGENDA,candidate|7|3|2.3333|AGENDA,candidate|7|3|2.3333|AGENDA,candidate|7|3|2.3333|AGENDA,29,0,29,0,3,8
5,selected,2.6190,48,8,candidate,7,2,3.5000,ENUM_MBTT,candidate|7|2|3.5000|ENUM_MBTT,candidate|7|2|3.5000|ENUM_MBTT,candidate|7|2|3.5000|ENUM_MBTT,11,38,13,0,3,8
6,no_viable,3.2000,0,0,,,,,,,,,10,39,3,0,9,8
