route,schema_id,family,type_expr,witness,novelty_bucket,in_L_metric,in_L_scalar,in_L_combined,is_interaction_new,canonical_key
cauchy_minimal,3e615825f011,interaction_field,field:S1->Q,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s1->q
cauchy_minimal,3d6347ca0e0e,interaction_field_modal,field:S1->flat(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->flat(q)
cauchy_minimal,8abdc6a2bd9e,interaction_field_modal,field:S1->sharp(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->sharp(q)
cauchy_minimal,0b33ee3e369e,interaction_field_modal,field:S1->shape(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->shape(q)
cauchy_minimal,5d1634bdd7a4,interaction_field_modal,field:S1->inf(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->inf(q)
cauchy_minimal,91724676c2e1,interaction_field,field:S1->R,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s1->r
cauchy_minimal,08060f3e95e5,interaction_field_modal,field:S1->flat(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->flat(r)
cauchy_minimal,0e4c7f3721a2,interaction_field_modal,field:S1->sharp(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->sharp(r)
cauchy_minimal,84ece4b7dd92,interaction_field_modal,field:S1->shape(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->shape(r)
cauchy_minimal,a9e9c3d4af1f,interaction_field_modal,field:S1->inf(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s1->inf(r)
cauchy_minimal,89008a95a41a,interaction_field,field:S2->Q,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s2->q
cauchy_minimal,403aaa2b9ff7,interaction_field_modal,field:S2->flat(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->flat(q)
cauchy_minimal,db71b3e1b1ed,interaction_field_modal,field:S2->sharp(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->sharp(q)
cauchy_minimal,33e257d4c16a,interaction_field_modal,field:S2->shape(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->shape(q)
cauchy_minimal,211bff922d81,interaction_field_modal,field:S2->inf(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->inf(q)
cauchy_minimal,64c00e49a6f5,interaction_field,field:S2->R,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s2->r
cauchy_minimal,ff11035c3e13,interaction_field_modal,field:S2->flat(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->flat(r)
cauchy_minimal,265fed8a1493,interaction_field_modal,field:S2->sharp(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->sharp(r)
cauchy_minimal,37e078d55ef3,interaction_field_modal,field:S2->shape(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->shape(r)
cauchy_minimal,5d07d6727472,interaction_field_modal,field:S2->inf(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s2->inf(r)
cauchy_minimal,26dea20d4126,interaction_field,field:S3->Q,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s3->q
cauchy_minimal,51881658ea58,interaction_field_modal,field:S3->flat(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->flat(q)
cauchy_minimal,c2dec92d3085,interaction_field_modal,field:S3->sharp(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->sharp(q)
cauchy_minimal,e65f1895e782,interaction_field_modal,field:S3->shape(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->shape(q)
cauchy_minimal,7d0c17528d91,interaction_field_modal,field:S3->inf(Q),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->inf(q)
cauchy_minimal,91976d25e008,interaction_field,field:S3->R,witness:cauchy_minimal:field,uniform_interaction,false,false,true,true,field:s3->r
cauchy_minimal,e1c236454310,interaction_field_modal,field:S3->flat(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->flat(r)
cauchy_minimal,c33d047c79da,interaction_field_modal,field:S3->sharp(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->sharp(r)
cauchy_minimal,c9acdcf7f394,interaction_field_modal,field:S3->shape(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->shape(r)
cauchy_minimal,954cfbd7077a,interaction_field_modal,field:S3->inf(R),witness:cauchy_minimal:field_modal,uniform_interaction,false,false,true,true,field:s3->inf(r)
cauchy_minimal,26be5b9411a3,interaction_curve,flow:Q->S1,witness:cauchy_minimal:flow,uniform_interaction,false,false,true,true,flow:q->s1
cauchy_minimal,6779ce72d4d2,interaction_curve_modal,flow:Q->flat(S1),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->flat(s1)
cauchy_minimal,fb49f13b78bf,interaction_curve_modal,flow:Q->sharp(S1),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->sharp(s1)
cauchy_minimal,0ae4b09bbf25,interaction_curve_modal,flow:Q->shape(S1),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->shape(s1)
cauchy_minimal,fc240d99ee17,interaction_curve_modal,flow:Q->inf(S1),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->inf(s1)
cauchy_minimal,cf2203fb7d03,interaction_curve,flow:Q->S2,witness:cauchy_minimal:flow,uniform_interaction,false,false,true,true,flow:q->s2
cauchy_minimal,273f32caf6cd,interaction_curve_modal,flow:Q->flat(S2),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->flat(s2)
cauchy_minimal,18175e162f3e,interaction_curve_modal,flow:Q->sharp(S2),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->sharp(s2)
cauchy_minimal,3cd5ccf502d6,interaction_curve_modal,flow:Q->shape(S2),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->shape(s2)
cauchy_minimal,0de87657ff33,interaction_curve_modal,flow:Q->inf(S2),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->inf(s2)
cauchy_minimal,715f9f4d2338,interaction_curve,flow:Q->S3,witness:cauchy_minimal:flow,uniform_interaction,false,false,true,true,flow:q->s3
cauchy_minimal,7990a92d7ee5,interaction_curve_modal,flow:Q->flat(S3),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->flat(s3)
cauchy_minimal,bf58b1674a51,interaction_curve_modal,flow:Q->sharp(S3),witness:cauchy_minimal:flow_modal,uniform_interaction,false,false,true,true,flow:q->sharp(s3)
