step,name,nu,kappa,rho,bar,delta,source,candidates
1,Universe,1,2,0.5000,0.5000,1,ENUM,1573
2,Unit,1,1,1.0000,0.5000,1,REF,1262
3,Witness,2,1,2.0000,0.6667,1,ENUM,1331
4,Pi,4,3,1.3333,1.0000,1,ENUM,1341
5,S1,8,5,1.6000,1.1429,1,ENUM,1351
6,S2,12,5,2.4000,1.3333,1,ENUM,1361
7,Trunc,6,2,3.0000,1.6471,1,ENUM,1371
8,S3,18,5,3.6000,1.7895,1,REF,1349
9,Hopf,5,2,2.5000,2.1667,1,ENUM,1337
10,Cohesion,19,4,4.7500,2.1923,1,REF,1347
11,Connections,12,3,4.0000,2.5333,1,ENUM,1629
12,Curvature,12,3,4.0000,2.6667,1,ENUM,1631
13,Metric,12,3,4.0000,2.7778,1,ENUM,1613
14,Hilbert,44,9,4.8889,2.8718,1,REF,1619
15,DCT,103,8,12.8750,3.2500,1,REF,1766
