step,name,nu,kappa,rho,bar,delta,source,candidates
1,Universe,1,2,0.5000,0.5000,1,ENUM,1573
2,Unit,1,1,1.0000,0.5000,1,REF,1262
3,Witness,2,1,2.0000,0.6667,1,ENUM,1331
4,candidate,6,2,3.0000,3.0000,3,ENUM,1341
5,candidate,6,2,3.0000,2.7778,5,ENUM,1351
6,candidate,8,2,4.0000,3.6000,9,ENUM,1361
7,candidate,14,3,4.6667,4.5333,17,ENUM,1371
8,candidate,11,2,5.5000,5.3303,31,ENUM,1349
9,Axiom_7,52,8,6.5000,6.0065,57,MCTS,1333
10,Axiom_9,65,8,8.1250,8.0892,105,MCTS,1339
11,Axiom_10,54,5,10.8000,9.8427,193,REF,1331
12,candidate,23,2,11.5000,11.2406,355,ENUM,1325
13,candidate,24,2,12.0000,11.7627,653,ENUM,1314
14,candidate,25,2,12.5000,12.2767,1201,ENUM,1312
15,Axiom_13,142,11,12.9091,12.7875,2209,MCTS,1301
